X,telefone_limpo
+55 21 1234-5678,2112345678
(11) 98765-4321,11987654321
11111111111,11111111111
telefone: +55 (11) 8765-4321,1187654321
+55 (21) 9 8765-4321,21987654321
55 11987654321,11987654321
021-2345-6789,2123456789
Tel: (31) 99876-1234,31998761234
+5521987654321,21987654321
(85)987654321,85987654321
whatsapp +55 27 3232-1111,2732321111
+55(48)9987-6543,4899876543
Telefone (41) 88888-7777,41888887777
telefone: 5511987654321,11987654321
98765-4321,
(61) 9 8765-4321,61987654321
+55 11 3333-4444,1133334444
5511999998888,11999998888
fone: (47) 3222-5555,4732225555
+55 (51) 9 7777-6666,51977776666
